date,open,high,low,close,volume
2021-03-08,333.41184644556,338.7894568721,329.57069614089,330.33892620182,72363
2021-03-09,330.33892620182,331.10715626276,325.72954583622,327.26600595809,36121
2021-03-10,323.42485565341,333.41184644556,323.42485565341,327.26600595809,41639
2021-03-14,322.65662559248,328.80246607995,320.35193540967,321.12016547061,47505
2021-03-15,327.26600595809,327.26600595809,318.81547528781,320.35193540967,29309
2021-03-16,318.81547528781,323.42485565341,318.04724522687,320.35193540967,38698
2021-03-17,324.96131577528,325.72954583622,318.81547528781,324.96131577528,18916
2021-03-18,341.09414705491,341.09414705491,324.96131577528,330.33892620182,37568
2021-03-21,330.33892620182,338.02122681117,330.33892620182,335.71653662836,38957
2021-03-22,336.4847666893,336.4847666893,329.57069614089,329.57069614089,32906
2021-03-23,330.33892620182,333.41184644556,324.96131577528,328.03423601902,23070
2021-03-24,330.33892620182,335.71653662836,327.26600595809,329.57069614089,45332
2021-03-25,333.41184644556,333.41184644556,327.26600595809,331.10715626276,55859
2021-03-29,333.41184644556,333.41184644556,326.49777589715,329.57069614089,27514
2021-03-30,331.87538632369,331.87538632369,327.26600595809,328.80246607995,28165
2021-03-31,332.64361638463,347.23998754238,327.26600595809,341.86237711584,108531
2021-04-01,349.54467772518,349.54467772518,333.41184644556,337.25299675023,69742
2021-04-04,338.02122681117,341.86237711584,333.41184644556,338.7894568721,71522
2021-04-05,341.86237711584,341.86237711584,334.1800765065,335.71653662836,38063
2021-04-06,331.87538632369,337.25299675023,331.87538632369,335.71653662836,48766
2021-04-07,336.4847666893,337.25299675023,331.87538632369,335.71653662836,30237
2021-04-08,337.25299675023,337.25299675023,333.41184644556,335.71653662836,42866
2021-04-12,334.94830656743,336.4847666893,331.10715626276,335.71653662836,64341
2021-04-13,345.70352742051,345.70352742051,335.71653662836,341.86237711584,102443
2021-04-15,345.70352742051,347.23998754238,341.86237711584,344.16706729864,80699
2021-04-18,349.54467772518,350.31290778612,337.25299675023,338.7894568721,75807
2021-04-19,334.94830656743,338.02122681117,331.87538632369,332.64361638463,75119
2021-04-20,330.33892620182,334.94830656743,329.57069614089,330.33892620182,69148
2021-04-21,328.03423601902,334.1800765065,326.49777589715,329.57069614089,67723
2021-04-22,334.1800765065,334.1800765065,325.72954583622,328.80246607995,57567
2021-04-25,331.10715626276,331.10715626276,321.12016547061,321.88839553154,53306
2021-04-26,321.12016547061,325.72954583622,308.82848449566,316.510785105,82121
2021-04-27,318.81547528781,321.12016547061,312.66963480033,319.58370534874,91231
2021-04-28,322.65662559248,323.42485565341,315.74255504407,318.81547528781,41259
2021-04-29,318.81547528781,323.42485565341,318.04724522687,321.88839553154,48621
2021-05-02,324.19308571435,328.03423601902,322.65662559248,325.72954583622,58954
2021-05-03,328.80246607995,330.33892620182,320.35193540967,321.12016547061,63178
2021-05-04,324.96131577528,324.96131577528,318.81547528781,320.35193540967,46355
2021-05-05,305.75556425192,324.96131577528,305.75556425192,320.35193540967,48809
2021-05-06,326.49777589715,326.49777589715,318.81547528781,320.35193540967,43509
2021-05-09,320.35193540967,323.42485565341,316.510785105,321.88839553154,44803
2021-05-10,324.19308571435,324.19308571435,319.58370534874,322.65662559248,34550
2021-05-11,330.33892620182,330.33892620182,321.12016547061,323.42485565341,47979
2021-05-12,323.42485565341,324.19308571435,321.12016547061,321.88839553154,34976
2021-05-13,322.65662559248,323.42485565341,321.12016547061,321.88839553154,43764
2021-05-16,324.19308571435,326.49777589715,323.42485565341,326.49777589715,64623
2021-05-17,334.1800765065,334.1800765065,328.03423601902,328.80246607995,50942
2021-05-18,331.10715626276,332.64361638463,328.80246607995,332.64361638463,73076
2021-05-19,333.41184644556,338.7894568721,331.87538632369,334.1800765065,87374
2021-05-20,349.54467772518,349.54467772518,328.80246607995,335.71653662836,60345
2021-05-23,334.1800765065,341.86237711584,328.80246607995,341.86237711584,95466
2021-05-24,342.63060717677,349.54467772518,342.63060717677,347.23998754238,201509
2021-05-25,348.00821760332,348.00821760332,340.32591699397,342.63060717677,45800
2021-05-27,338.02122681117,342.63060717677,334.1800765065,341.09414705491,86267
2021-05-30,341.09414705491,348.77644766425,338.02122681117,344.16706729864,156823
2021-05-31,347.23998754238,349.54467772518,338.7894568721,339.55768693304,63529
2021-06-01,338.02122681117,339.55768693304,333.41184644556,335.71653662836,72507
2021-06-02,335.71653662836,340.32591699397,334.1800765065,338.02122681117,67701
2021-06-03,341.86237711584,349.54467772518,338.02122681117,345.70352742051,169456
2021-06-06,349.54467772518,369.51865930948,349.54467772518,357.99520839546,309217
